hanzi;pinyin;meaning;hsk_level
顾客;gùkè;customer;4
故意;gùyì;deliberately;4
挂;guà;hang;4
关键;guānjiàn;key;4
观众;guānzhòng;Audience;4
管理;guǎnlǐ;Administration;4
光;guāng;light;4
广播;guǎngbō;Radio broadcast;4
广告;guǎnggào;Advertisement;4
逛;guàng;Stroll;4
规定;guīdìng;Regulations;4
国际;guójì;international;4
国籍;guójí;nationality;4
果汁;guǒzhī;fruit juice;4
过程;guòchéng;process;4
海洋;hǎiyáng;ocean;4
害羞;hàixiū;Shy;4
寒假;hánjià;The winter vacation;4
汗;hàn;sweat;4
航班;hángbān;flight;4
好处;hǎochù;benefit;4
好像;hǎoxiàng;Be like, seem;4
号码;hàomǎ;number;4
合格;hégé;qualified;4
合适;héshì;appropriate;4
盒子;hézi;Box;4
厚;hòu;thick;4
后悔;hòuhuǐ;regret;4
护士;hùshi;Nurse;4
互联网;hùliánwǎng;Internet;4
互相;hùxiāng;each other;4
怀疑;huáiyí;doubt;4
回忆;huíyì;Memory;4
活动;huódòng;activity;4
活泼;huópō;lively;4
火;huǒ;fire;4
获得;huòdé;Get;4
基础;jīchǔ;Basics;4
激动;jīdòng;Excited;4
积极;jījí;positive;4
积累;jīlěi;accumulation;4
及时;jíshí;timely;4
即使;jíshǐ;even if;4
寄;jì;send;4
记者;jìzhě;Reporter;4
计划;jìhuà;plan;4
既然;jìrán;although;4
技术;jìshù;technology;4
继续;jìxù;Continue;4
家具;jiājù;furniture;4
加班;jiābān;overtime work;4
加油站;jiāyóuzhàn;Gas station;4
假;jiǎ;FALSE;4
价格;jiàgé;Price;4
坚持;jiānchí;Insist;4
减肥;jiǎnféi;Reduce weight;4
减少;jiǎnshǎo;reduce;4
建议;jiànyì;proposal;4
将来;jiānglái;future;4
奖金;jiǎngjīn;bonus;4
降低;jiàngdī;reduce;4
降落;jiàngluò;land;4
交;jiāo;hand over;4
交流;jiāoliú;Communication;4
交通;jiāotōng;traffic;4
郊区;jiāoqū;Suburb;4
骄傲;jiāo'ào;Proud;4
饺子;jiǎozi;Dumplings;4
教授;jiàoshòu;professor;4
教育;jiàoyù;education;4
接受;jiēshòu;accept;4
接着;jiēzhe;Next;4
结果;jiéguǒ;Result;4
节;jié;section, festival;4
节约;jiéyuē;save;4
解释;jiěshì;explain;4
尽管;jǐnguǎn;although;4
紧张;jǐnzhāng;Nervous;4
